file,excluded_reason,n_rows,n_subjects,column,dtype,n_nonnull,n_unique
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,ID,int64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Subject,int64,35,7
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Test_Phase,str,35,3
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,BR_Day,str,35,5
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Left Ventricular Diameter Diastole,float64,35,29
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Left Ventricular Diameter Systole,float64,35,30
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Pulmonic Valve Acceleration Time,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Pulmonic Valve Ejection Time,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Mitral E Wave Velocity,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Mitral A Wave Velocity,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Mitral Deceleration Time,float64,35,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Isovolumic Contraction Time,float64,35,33
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Ejection Time,float64,35,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Isovolumic Relaxation Time,float64,35,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Aortic Valve Close Open,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Tricuspid E Velocity,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Tricuspid A Velocity,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Tricuspid Regurgitation,float64,34,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Tricuspid Systole,float64,34,32
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Tricuspid E Wave,float64,34,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Tricuspid A Wave,float64,34,33
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Right Heart Rate,float64,34,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Basal Septal Systole,float64,35,32
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Basal Septal E,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Basal Septal A,float64,35,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Mitral Annular Systole,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Mitral Annular E,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Mitral Annular A,float64,35,34
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,TDI Left Heart Rate,float64,35,33
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,Color M-Mode Velocity Propagation Time,float64,35,35
BRSMCF_CFT70_2D_Echo_7_Subjects.csv,,35,7,LVOT Velocity Time Integral,float64,35,35
